,0,1,2,3,4,5,6,7,8,9
0,inf,1.0,4.0,inf,1.25,0.5238095238095238,1.0,0.6753246753246753,0.8260869565217391,3.0
1,1.6666666666666667,1.0434782608695652,2.0588235294117645,1.5121951219512195,0.7834394904458599,0.32801822323462415,0.9871794871794872,1.1213768115942029,1.7090592334494774,9.6
2,0.0,0.23529411764705882,0.19047619047619047,0.17857142857142858,0.15436241610738255,0.059050064184852376,0.1619332336821126,0.3269364968597348,0.7767175572519084,7.076923076923077
3,0.0,0.0,0.5,0.0,0.17647058823529413,0.08823529411764706,0.20723684210526316,0.30326295585412666,0.5301724137931034,2.6666666666666665
4,,,0.0,0.0,0.3333333333333333,0.25,0.18571428571428572,0.4845360824742268,0.9166666666666666,inf
5,,inf,0.0,inf,0.0,0.0,0.3157894736842105,0.6842105263157895,0.5384615384615384,1.0
6,,,,,1.0,1.0,0.2857142857142857,0.2727272727272727,0.16666666666666666,
7,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,,,inf,,,inf,0.0,,,
9,,,,,,,,,,
