,0,1,2,3,4,5,6,7,8,9
0,,0.0,0.0,inf,0.3333333333333333,0.02702702702702703,0.08333333333333333,0.058823529411764705,0.0,0.0
1,0.1111111111111111,0.13043478260869565,0.29411764705882354,0.1951219512195122,0.08917197452229299,0.02847380410022779,0.06898656898656899,0.08756038647342995,0.10278745644599303,0.38461538461538464
2,0.0,0.0,0.0,0.0,0.006711409395973154,0.0038510911424903724,0.008470353761833582,0.0157013258897418,0.03148854961832061,0.3076923076923077
3,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.009596928982725527,0.004310344827586207,0.0
4,,,0.0,0.0,0.0,0.05,0.0,0.010309278350515464,0.020833333333333332,
5,,,0.0,,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
6,,,,,0.0,0.0,0.0,0.0,0.0,
7,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,,,,,,,,,,
9,,,,,,,,,,
