,0,1,2,3,4,5,6,7,8,9
0,,,,,0.0,0.05405405405405406,0.014285714285714285,0.014705882352941176,0.05555555555555555,0.0
1,,,0.09090909090909091,0.0,0.012738853503184714,0.011389521640091117,0.05372405372405373,0.05555555555555555,0.07317073170731707,0.15384615384615385
2,,,0.0,0.0,0.020134228187919462,0.0012836970474967907,0.009466865969108122,0.021632937892533146,0.04866412213740458,0.36
3,,,0.0,0.0,0.0,0.0,0.023026315789473683,0.02495201535508637,0.021551724137931036,0.16666666666666666
4,,,,0.0,0.0,0.0,0.0,0.041666666666666664,0.06666666666666667,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
