epic,camp,glat,glon,ev,teff,teff_err,logg,logg_err,meh,feh,alpham,vmag,jk,numax,dnu,fdnu,kappa_m,mass,mass_err,kappa_r,radius,radius_err,ecc,ang_mom,tot_energy,alpha_flag,fdnu_flag
211705076,"[5, 16, 18]",30.555707763280388,209.67659153731225,RGB,4663.8994,7.3659735,2.871728,0.02132105,0.0019028,-0.0086939,0.071987,9.251579156285151,0.6419997215271005,98.008,9.273999655087986,1.0291584075920803,1.45871372794497,1.059508262092472,0.0456307658647338,6.766240606838023,6.08217431780752,0.1246556794391348,0.836101698930078,-6.485105975838394e-05,-2.711830856442178,1,0.0
212873074,[17],58.35911034453778,321.9454743477164,RGB,4789.3354,11.353901,2.7821949,0.029293887,-0.26547,-0.27518,0.0575,6.872983879964802,0.6550002098083496,49.941,5.195170552112766,1.0276476744342633,1.9598654444053698,1.481322604378127,0.0428357208666387,10.986963361604115,10.008111635774796,0.1108304509901596,0.904607717936996,-0.000582515706742,-2.8909134852140688,1,0.0
204651310,[11],12.7937897587644,0.4003119905175794,RGB,4667.046,7.0517573,3.0265546,0.019568576,0.19116,0.17448,0.02744271,9.600660402170725,0.73699998855591,148.608,12.973306856610566,1.023429072768835,1.3279373835866182,0.9654976826212072,0.0308822513872085,5.242770770141299,4.714316641617199,0.0531689183827035,0.9895539490298672,-0.0034686362526274,-2.783296548995059,1,0.0
212386819,"[18, 16]",46.24887517739148,318.8384682830203,RC,4761.284,8.037402,2.4738772,0.02198893,-0.05081,-0.057248,0.010016,9.343131122784659,0.6430001258850098,32.695,3.95411733104067,0.9989648412171184,1.638700582518077,1.2277113048661417,0.1605613872503094,12.416588797915821,11.277197360578098,0.5724879622839947,0.9669884500334172,0.0025337486016357,-2.5944469526403733,1,0.0
228774437,[10],54.96947464838042,299.8239014720699,RC,5005.8467,9.478039,2.8466895,0.021470316,0.039819,0.031957,-0.019092001,9.052021326285862,0.5679998397827104,89.247,7.559844970829729,0.9932896205856812,2.4944977250281077,2.014697961022094,0.1457336587938184,9.272309264486841,8.63502342453812,0.2615823373650399,0.9534290812380106,-0.016622540281688,-2.632937212583358,1,0.0
212349887,[1],45.17448786739367,319.5154503260782,RC,4827.842,8.8445,2.4570713,0.024023922,-0.23524,-0.24538,0.046894,9.591833345043922,0.6860003471374485,31.614,3.972203617403874,1.0001665290516455,1.4546755112085372,1.1127720710798576,0.0839199451175869,11.896973794397768,10.880525422773838,0.3086058825909083,0.6000143238630737,-0.0326372247680298,-2.5511266890049846,1,0.0
204970434,[12],15.51044119213538,0.1448451664873857,RGB,4827.258,13.782376,2.4154387,0.034698173,-0.45032,-0.46117,0.265075,13.185084828028153,0.7030000686644993,25.992,2.9714427490960813,1.022108739770227,2.581685988705628,1.974534382829364,0.1864151677205392,17.479339804266562,15.984980821377771,0.5800003525430518,0.8494038877382206,-0.0264114273316537,-1.960716918688862,2,0.0
228909546,[3],59.13137425947451,290.3347331325598,RC,4725.4263,7.77773,2.3783991,0.021711346,-0.028436,-0.034264,-0.0025889985,9.34540633422714,0.67799997329712,31.082,3.692103252734904,0.9994870943835829,1.852189030489443,1.3720101216796283,0.2426793732272915,13.538836432405283,12.250073014207263,1.0460985976669668,0.7875514620567671,-0.0121081945146331,-2.5807269685874914,1,0.0
201698245,[2],59.29606735753613,259.3361938433389,RGB,4664.9272,10.311724,2.2394738,0.03213324,-0.62152,-0.62865,0.282345,12.556743602835537,0.6770000457764009,27.508,3.039112302854884,1.0196100848572045,2.7966868706992583,2.03199046574371,0.3589991110562199,17.68420657995769,15.89808642708734,1.296459193107227,0.2629708005163144,-0.3399279911744157,-2.006341423296688,2,0.0
201495451,[14],51.316457536240975,251.66035550651827,RC,4661.925,7.306153,2.430427,0.021054875,0.029244,0.016585,0.011387001,9.84187870230606,0.7079997062683105,32.034,4.082984426370408,1.0009653735608863,1.3557400047812669,0.9840900738360886,0.0587372201629567,11.409740986691128,10.254046099320204,0.2508755687797498,0.5250622966003288,-0.0407018599464136,-2.559726623377898,1,0.0
206384822,[15],-50.82861779935731,57.506003364536,RGB,4178.796,5.1410236,1.824151,0.019599365,0.11974,0.1094,0.086371005,11.576134925069676,0.82999992370606,11.93,1.9423105022046447,1.0408120963049114,1.367415468611455,0.8423406514783925,0.0653542430354066,18.77686950174966,15.976645978694595,0.4346487515577145,0.7778527676311499,0.0402282798210614,-2.3288976087006774,2,0.0
247512035,[4],-11.705613801518624,180.1561651788992,RC,4677.075,7.3026576,2.4326868,0.020607723,0.078848,0.072004,-0.00299,10.31392461578263,0.8330001831054696,33.972,4.221143271159366,1.0010825246028854,1.4154572775936192,1.032449416843114,0.0892187268012885,11.320900951769078,10.190722991516877,0.370909339346777,0.9255819040653248,0.0092349751695654,-2.56601568849891,1,0.0
