,0,1,2,3,4,5,6,7,8,9
0,inf,1.0,4.0,inf,1.75,0.7142857142857143,1.5256410256410255,1.0,0.8695652173913043,5.0
1,1.4444444444444444,1.0434782608695652,2.0,1.4390243902439024,0.7770700636942676,0.3223234624145786,0.9731379731379731,1.1467391304347827,1.7613240418118468,10.6
2,0.0,0.23529411764705882,0.19047619047619047,0.10714285714285714,0.14093959731543623,0.05648267008985879,0.15246636771300448,0.30844382414515004,0.7528625954198473,6.461538461538462
3,0.0,0.0,1.0,0.0,0.23529411764705882,0.0784313725490196,0.21710526315789475,0.2783109404990403,0.5172413793103449,2.8333333333333335
4,,,0.0,0.0,0.3333333333333333,0.25,0.17142857142857143,0.4536082474226804,0.9166666666666666,inf
5,,inf,0.0,inf,0.0,0.25,0.2631578947368421,0.8421052631578947,0.23076923076923078,1.0
6,,,,,1.0,0.0,0.2857142857142857,0.18181818181818182,0.3333333333333333,
7,,,inf,0.0,0.0,2.0,0.0,0.0,0.0,1.0
8,,,,,,inf,0.0,,,
9,,,,,,,,,,
