epic,apogee,gaia_source,camp,ra,dec,glat,glon,ev,teff,teff_err,logg,logg_err,meh,meh_err,feh,feh_err,alpham,alpham_err,alpha_flags,vmag,vmag_err,jmag,kmag,jk,j_k_err,numax,numax_err,dnu,dnu_err,fdnu,fdnu_err,fdnu_flags,kappa_m,kappa_m_err,mass,mass_err,kappa_r,kappa_r_err,radius,radius_err,para,para_err,ecc,ecc_err,ang_mom,ang_mom_err,tot_energy,tot_energy_err,gaia_binary_flag
206086037,2M22204679-1227458,2602253824891036672,3,335.19498,-12.462733,-51.84,47.98,RGB,4939,9.7,3.19,0.025,-0.269,0.0064,-0.27,0.0073,0.103,0.0064,1,12.01,0.817,10.39,9.78,0.61,0.032,180.26,1.066,15.19,0.072,1.006,0.0017,0,1.26,0.033,1.0,0.035,4.64,0.052,4.29,0.048,1.33,0.037,0.082,0.0014,-1.844,0.0071,-1.294,0.0019,1
201359581,2M11543613-0133450,3602288924851706880,1,178.650542,-1.5625,58.21,275.17,RGB,4887,18.5,2.24,0.055,-1.414,0.0149,-1.386,0.0152,0.258,0.0205,2,11.06,0.753,9.53,8.96,0.57,0.032,19.41,0.624,2.85,0.003,1.041,0.0055,0,1.28,0.123,0.99,0.096,14.23,0.459,13.09,0.423,0.67,0.026,0.88,0.0035,-0.465,0.0408,-1.111,0.0356,1
204298932,2M16212032-2253037,6050297413148822528,2,245.33469,-22.884373,18.79,353.45,RGB,4457,7.6,1.87,0.029,-0.683,0.0081,-0.689,0.0092,0.291,0.0079,2,14.09,1.048,10.1,8.88,1.22,0.035,10.49,0.156,1.81,0.061,1.045,0.004,0,1.24,0.176,0.84,0.183,19.06,1.318,16.74,1.157,0.64,0.021,0.702,0.0013,-0.21,0.0477,-1.533,0.0026,0
248435909,2M10490297+0057146,3808099600146376192,14,162.26238,0.954069,50.67,249.51,RGB,4897,9.3,3.1,0.024,-0.206,0.0063,-0.213,0.0072,0.068,0.0061,1,10.61,0.839,8.98,8.36,0.62,0.037,140.74,1.718,11.93,0.05,1.014,0.0009,0,1.58,0.064,1.23,0.056,5.87,0.087,5.41,0.08,2.07,0.021,0.077,0.0005,-2.016,0.0016,-1.252,0.0005,0
211006381,2M04123950+2304337,52907060716766080,4,63.164624,23.076044,-20.13,171.87,RC,4807,8.6,2.39,0.024,-0.204,0.0063,-0.206,0.0074,0.05,0.006,1,10.43,0.699,7.86,6.93,0.92,0.032,30.31,1.4,3.63,0.074,0.996,0.0009,0,1.84,0.297,1.4,0.265,13.68,0.843,12.48,0.769,1.9,0.024,0.052,0.0004,-1.941,0.001,-1.276,0.0002,0
247693229,2M05001298+2339480,3418643407539587584,13,75.054088,23.663355,-11.38,178.66,RC,4978,18.8,2.42,0.039,-0.382,0.0116,-0.379,0.0132,0.097,0.012,1,14.09,0.831,12.11,11.37,0.74,0.028,28.79,0.984,3.93,0.072,0.996,0.0042,0,1.15,0.145,0.92,0.142,11.08,0.556,10.29,0.516,0.28,0.023,0.2,0.002,-2.11,0.0113,-1.2,0.0042,0
220387110,2M00371799+0427266,2554396309982001664,8,9.324969,4.457395,-58.23,116.23,RGB,4712,7.9,2.67,0.023,-0.145,0.0063,-0.137,0.0074,0.092,0.0056,1,10.88,0.773,9.22,8.59,0.63,0.033,63.22,1.014,6.49,0.031,1.026,0.0006,0,1.63,0.084,1.2,0.068,8.91,0.166,8.04,0.15,1.35,0.021,0.146,0.0003,-1.797,0.0015,-1.302,0.0002,0
248166578,2M04431213+2710173,154610060922952832,13,70.800579,27.171499,-12.24,173.42,RGB,4632,7.8,2.18,0.025,-0.351,0.0069,-0.352,0.008,0.065,0.0064,1,14.01,0.827,11.4,10.47,0.94,0.028,18.84,1.018,2.46,0.132,1.03,0.0063,0,2.1,0.564,1.51,0.567,18.51,2.225,16.57,1.992,0.29,0.024,0.133,0.0018,-2.891,0.0767,-1.063,0.0137,0
211527309,2M08181617+1331301,650466925762441600,"[5, 18]",124.567411,13.52503,25.26,210.13,RC,4914,9.3,2.53,0.024,-0.183,0.0062,-0.184,0.0071,0.034,0.006,1,9.51,0.575,7.98,7.41,0.57,0.029,41.44,0.957,4.63,0.022,0.996,0.0012,0,1.77,0.128,1.39,0.105,11.48,0.287,10.59,0.265,1.6,0.022,0.053,0.0008,-1.957,0.0014,-1.27,0.0005,0
206482284,2M22334401-0513486,2624575143589974528,3,338.433415,-5.230183,-50.59,60.46,RGB,4585,6.7,2.67,0.02,0.164,0.0056,0.168,0.007,0.003,0.0044,1,9.69,0.606,7.75,7.01,0.73,0.029,65.0,0.64,6.32,0.011,1.026,0.0004,0,1.98,0.06,1.4,0.044,9.67,0.101,8.62,0.09,2.57,0.021,0.061,0.0004,-1.956,0.0008,-1.271,0.0002,0
