,xedges,yedges
0,8.0,0.0
1,8.8,24.0
2,9.6,48.0
3,10.4,72.0
4,11.2,96.0
5,12.0,120.0
6,12.8,144.0
7,13.600000000000001,168.0
8,14.4,192.0
9,15.2,216.0
10,16.0,240.0
