,xedges,yedges
0,8.5,0.0
1,9.25,24.0
2,10.0,48.0
3,10.75,72.0
4,11.5,96.0
5,12.25,120.0
6,13.0,144.0
7,13.75,168.0
8,14.5,192.0
9,15.25,216.0
10,16.0,240.0
