,xedges,yedges
0,0.45,7.5
1,0.54,8.4
2,0.63,9.3
3,0.72,10.2
4,0.81,11.1
5,0.9000000000000001,12.0
6,0.99,12.9
7,1.08,13.8
8,1.1700000000000002,14.7
9,1.26,15.6
10,1.35,16.5
