,xedges,yedges
0,0.4,6.0
1,0.49,7.0
2,0.5800000000000001,8.0
3,0.67,9.0
4,0.76,10.0
5,0.85,11.0
6,0.9400000000000001,12.0
7,1.03,13.0
8,1.12,14.0
9,1.21,15.0
10,1.3,16.0
